"","x"
"cell421","CD34+CD45RA-CLEC12A+"
"cell422","CD34+CD45RA-CLEC12A-"
"cell423","CD34+CD45RA-CLEC12A-"
"cell424","CD34+CD45RA-CLEC12A-"
"cell425","CD34+CD45RA-CLEC12A-"
"cell426","CD34+CD45RA-CLEC12A-"
"cell428","CD34+CD45RA-CLEC12A-"
"cell429","CD34+CD45RA-CLEC12A-"
"cell430","CD34+CD45RA-CLEC12A-"
"cell431","CD34+CD45RA-CLEC12A-"
"cell432","CD34+CD45RA-CLEC12A-"
"cell433","CD34+CD45RA+CLEC12A-"
"cell434","CD34+CD45RA-CLEC12A-"
"cell435","CD34+CD45RA+CLEC12A-"
"cell436","CD34+CD45RA-CLEC12A-"
"cell437","CD34+CD45RA-CLEC12A+"
"cell438","CD34+CD45RA-CLEC12A-"
"cell439","CD34+CD45RA-CLEC12A-"
"cell440","CD34+CD45RA-CLEC12A-"
"cell441","CD34+CD45RA-CLEC12A-"
"cell442","CD34+CD45RA-CLEC12A-"
"cell443","CD34+CD45RA-CLEC12A+"
"cell444","CD34+CD45RA-CLEC12A+"
"cell445","CD34+CD45RA-CLEC12A-"
"cell446","CD34+CD45RA+CLEC12A-"
"cell447","CD34+CD45RA-CLEC12A-"
"cell448","CD34+CD45RA-CLEC12A-"
"cell449","CD34+CD45RA-CLEC12A-"
"cell450","CD34+CD45RA-CLEC12A-"
"cell451","CD34+CD45RA-CLEC12A-"
"cell452","CD34+CD45RA+CLEC12A+"
"cell453","CD34+CD45RA-CLEC12A-"
"cell454","CD34+CD45RA-CLEC12A-"
"cell455","CD34+CD45RA-CLEC12A-"
"cell456","CD34+CD45RA-CLEC12A-"
"cell457","CD34+CD45RA-CLEC12A-"
"cell458","CD34+CD45RA-CLEC12A-"
"cell459","CD34+CD45RA-CLEC12A+"
"cell460","CD34+CD45RA+CLEC12A-"
"cell461","CD34+CD45RA-CLEC12A-"
"cell462","CD34+CD45RA-CLEC12A-"
"cell463","CD34+CD45RA-CLEC12A-"
"cell464","CD34+CD45RA+CLEC12A+"
"cell465","CD34+CD45RA+CLEC12A-"
"cell466","CD34+CD45RA+CLEC12A-"
"cell467","CD34+CD45RA-CLEC12A-"
"cell468","CD34+CD45RA-CLEC12A+"
"cell469","CD34+CD45RA-CLEC12A-"
"cell470","CD34+CD45RA-CLEC12A-"
"cell471","CD34+CD45RA+CLEC12A-"
"cell472","CD34+CD45RA-CLEC12A-"
"cell473","CD34+CD45RA-CLEC12A-"
"cell474","CD34+CD45RA+CLEC12A-"
"cell475","CD34+CD45RA-CLEC12A-"
"cell476","CD34+CD45RA-CLEC12A-"
"cell477","CD34+CD45RA-CLEC12A-"
"cell479","CD34+CD45RA-CLEC12A+"
"cell480","CD34+CD45RA+CLEC12A-"
"cell481","CD34+CD45RA-CLEC12A+"
"cell483","CD34+CD45RA-CLEC12A-"
"cell484","CD34+CD45RA-CLEC12A-"
"cell485","CD34+CD45RA-CLEC12A-"
"cell486","CD34+CD45RA-CLEC12A-"
