"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7127","PDE6D",0.0460288461329548,0.360578577626899,3.06281326052675,0.0022033523137392,0.00839438930312986,-6.97581580043144
"7128","C1orf56",0.0460158936791165,0.0776782852749304,5.98354158973659,2.32229715206359e-09,1.57813587193984e-08,6.18312873562135
"7129","JPH1",-0.0460132755955415,0.0393858108357525,-8.32024719633846,1.09809935729859e-16,1.07954699372779e-15,22.738819079432
"7130","BOLA3",-0.0460102169881319,0.72907506251758,-2.33334668121517,0.0196660862042603,0.0626074994487372,-8.94166449204294
"7131","TCP11L2",-0.0460083734713226,0.071803657564304,-5.68236617839163,1.3972159578633e-08,9.0129540489522e-08,4.43695744917839
"7132","LTO1",-0.0460070004415991,0.192443372964418,-4.06306437616117,4.91123775166921e-05,0.000231793956091354,-3.41976475198732
"7133","ZNF146",0.0460056209655674,0.64053667522792,2.57318694625226,0.0101028431471444,0.0342098401358713,-8.35381468585489
"7134","TMEM25",-0.045983834499013,0.0822077306624503,-5.88080658172489,4.3250974538679e-09,2.87718814811013e-08,5.57748056333461
"7135","TLN2",-0.045978803018329,0.129435704411863,-4.61948190874011,3.93540098698884e-06,2.07669566788897e-05,-1.0121106480471
"7136","TRIM56",0.0459734178064273,0.610983298529093,2.54125713963593,0.0110729042453169,0.037165167453148,-8.43538346331946
"7137","PGM1",0.0459438683739984,0.463259444477675,2.72406527697138,0.00646890383805462,0.0226811331905965,-7.95463493009518
"7138","UNC119",0.0459417878023912,0.169488319552372,4.2289815640295,2.38590723459857e-05,0.000116793621363571,-2.73390354147971
"7139","DEPTOR",-0.0459311171604729,0.444808336810284,-2.42347580296251,0.015405078892222,0.0502084855328778,-8.72748330834015
"7140","PIP5K1C",0.0459237376790371,0.180995504664455,4.23857447597794,2.28654383969868e-05,0.000112124586115771,-2.69341483325358
"7141","RNF139-AS1",0.045899068906413,0.0711011730975385,6.34145072598179,2.45913357996076e-10,1.77493094380091e-09,8.37388994858613
"7142","PPP6R1",0.0458842106174511,0.763467692413722,2.43441721271721,0.0149476325710862,0.0488437014315083,-8.70093105952944
"7143","CCZ1B",-0.0458674319629759,0.194076858549372,-4.07569536773076,4.65285592437761e-05,0.000220167006707363,-3.36851056817485
"7144","MCOLN2",-0.0458552135043357,0.0564588415806127,-6.90196791139257,5.71157387815523e-12,4.51803145697773e-11,12.0565140222672
"7145","LINC01341",-0.0458526833029382,0.0834419147208512,-5.94728533843208,2.89555373659995e-09,1.95283144118841e-08,5.9682069544365
"7146","MAP3K2-DT",-0.0458502330386813,0.0776121022578528,-5.97120593952614,2.50367697000676e-09,1.69604073254151e-08,6.10986008838207
"7147","ACAD11",-0.0458394241805554,0.219329214810117,-3.69569723306996,0.000221432872079139,0.000965573356171891,-4.84125380865088
"7148","TBC1D12",-0.0458372372791033,0.115194751601007,-4.85401727080683,1.24355105788309e-06,6.88164685055625e-06,0.0944758983990681
"7149","PROCR",-0.0458216634018372,0.0824183900754307,-5.64610548050011,1.72406855545598e-08,1.10512492466277e-07,4.2327312589471
"7150","PAFAH1B3",-0.0457989815180722,0.857544785864309,-2.34427551951073,0.0190997457690126,0.0610221538836967,-8.91612493388791
"7151","LINC00623",-0.0457803440098535,0.18713401098812,-4.05044764221074,5.18287144345687e-05,0.000244047700632915,-3.47080321823226
"7152","AC093249.6",-0.0457800390169233,0.0739435540928609,-5.99091117292748,2.22011538234667e-09,1.51122267266636e-08,6.22697221407629
"7153","SRF",0.0457430498775819,0.1201349585178,5.17029613419493,2.42055925709057e-07,1.4202451004933e-06,1.67273336390072
"7154","KNOP1",-0.0457428403228324,0.475784665607872,-2.76724592745052,0.0056722537690681,0.0201250639978346,-7.83621765919245
"7155","CHAMP1",0.0457382320357324,0.346833855834443,3.22098292207129,0.00128501041808115,0.00508076766902756,-6.4796700164206
"7156","UFL1",-0.0457365789563025,0.623776611941466,-2.53257092517087,0.0113507350924112,0.0380168608269897,-8.45739770674702
"7157","GOLGA8B",-0.045727108717533,0.163251335221232,-4.3323381850775,1.50181095254202e-05,7.48166362787402e-05,-2.29286906606631
"7158","ACTR6",0.0457228924109281,0.432977134487572,2.94637976586701,0.00322877021405605,0.0119878493208222,-7.3251373476401
"7159","IL4R",0.0457179039989011,0.125603016637689,4.67651824661172,2.98818649215534e-06,1.59593491835182e-05,-0.748002737542196
"7160","MXI1",-0.0457086137540844,0.189075959519274,-3.811291582931,0.000139764223382104,0.000624833313791178,-4.40840938285545
"7161","AC008969.1",-0.0456967906146259,0.112583702228005,-4.91746982346663,9.02387257148754e-07,5.04710819054119e-06,0.403195216496197
"7162","NBPF12",0.0456878680807249,0.150668614117193,4.47925029222867,7.6433710954782e-06,3.92033387704032e-05,-1.64778114388234
"7163","GPATCH2",0.0456861755112139,0.586334646866191,2.52274075440167,0.0116726081732862,0.0389985515062024,-8.48222047399924
"7164","ICAM1",-0.0456754292892174,0.0507874458147851,-7.24349306131758,4.97993888685818e-13,4.14440070936553e-12,14.4505174142306
"7165","KIAA0355",0.0456630994316947,0.075035902377734,5.90036951400949,3.84507772155355e-09,2.56813302347777e-08,5.69201068911698
"7166","SERTAD3",0.0456302208315009,0.105438667801055,5.1782817417835,2.3197115457733e-07,1.36304001102662e-06,1.71385902259493
"7167","AC021752.1",-0.0456220786806444,0.100377778566181,-5.23993233551922,1.66671479840475e-07,9.89833333383293e-07,2.03347322752662
"7168","ZNF335",0.0456179523163512,0.181483892435183,4.14712109244911,3.41791278261358e-05,0.000164215050874823,-3.07570351750376
"7169","PALB2",-0.0455984705664813,0.219893260266235,-3.84548883903503,0.000121682162190669,0.000547136218469372,-4.27781572527206
"7170","CCDC57",-0.045590023710945,0.582871548421299,-2.51780535201165,0.011837243773928,0.0395017286077259,-8.49464684506321
"7171","BRF1",-0.0455894719959803,0.365449917469533,-3.12154177187883,0.00180846668369062,0.00699035685814345,-6.79450132339409
"7172","HSDL1",0.0455840494588723,0.0835188863022861,5.97383266095063,2.46393329776459e-09,1.67004486354596e-08,6.12544921845664
"7173","MRNIP",-0.0455633765178024,0.179847053697874,-4.1615205790936,3.20996964892267e-05,0.000154834078967078,-3.01606109439663
"7174","B3GNT8",-0.0455424869837232,0.0415732185390886,-8.36676261183667,7.44540160389553e-17,7.40312806585657e-16,23.1221031653781
"7175","DCLK2",0.0455394937505897,0.0423237035540275,7.75056212512732,1.08386052119946e-14,9.72313209226016e-14,18.213925714626
"7176","ARHGAP35",0.0455346230063214,0.620777551066648,2.51516882201945,0.0119260347744389,0.0397690232123942,-8.5012751593561
"7177","IPMK",-0.045530190717694,0.353942032996752,-3.00574664315707,0.00266134604129006,0.01000903477777,-7.14871183273019
"7178","RPUSD2",-0.0455203087348996,0.183017068265792,-4.12946481731971,3.69037281657192e-05,0.000176610009753333,-3.14855511768089
"7179","IL15",-0.0455196751811843,0.0569730613915256,-6.61182013322522,4.15796317783527e-11,3.14108586732608e-10,10.111931128583
"7180","HGS",0.0455133825914082,0.24534858722809,3.69957809513161,0.000218082678648801,0.000951943246419174,-4.82693703026395
"7181","SPOUT1",0.045487328752009,0.272307157151814,3.54568161214538,0.000394882887027208,0.00166952853737817,-5.3832107115648
"7182","SLC25A23",0.0454814862829881,0.0900720233351282,5.75183429349488,9.30773463092452e-09,6.06286519356591e-08,4.83182151580521
"7183","SLC25A10",0.045456135440087,0.114879342451065,5.36492814495152,8.43204512815579e-08,5.13086090998554e-07,2.69297816920626
"7184","C20orf194",-0.0454514707526345,0.479891087646403,-2.54534374316173,0.0109442960944489,0.036790244429916,-8.42500041056577
